extraction_id,evidence_role_type,identified_occupation,activity_description_in_pad,skills_needed_for_activity,source_material_quote,project_id,section_id,pad_id,combined_text
6,inferred,Carbon Market Specialist,Conduct studies required to access future carbon markets and to quantify emission reductions for potential carbon credits.,"['carbon accounting methodologies', 'emissions baseline studies', 'carbon credit project development', 'carbon market regulation knowledge', 'project economic appraisal']","Nevertheless, in order to benefit from a future carbon market, the project developers will conduct the required studies to enhance the Project's financial outlook.",P075941,10,010,"Carbon Market Specialist Conduct studies required to access future carbon markets and to quantify emission reductions for potential carbon credits. carbon accounting methodologies, emissions baseline studies, carbon credit project development, carbon market regulation knowledge, project economic appraisal"
7,inferred,Legal Advisor,Design and draft power purchase agreements to ensure the project company can meet its financial obligations under the tariff structure.,"['PPA drafting', 'contract negotiation', 'regulatory compliance', 'contract law expertise', 'dispute resolution']",The PPA's will be designed to ensure that RPCL will be able to meet the financial obligations reflected in the planned tariff structure.,P075941,10,011,"Legal Advisor Design and draft power purchase agreements to ensure the project company can meet its financial obligations under the tariff structure. PPA drafting, contract negotiation, regulatory compliance, contract law expertise, dispute resolution"
8,inferred,Treasury Manager,"Manage escrow deposits, bank guarantees and related escrow account arrangements required under the power purchase agreements.","['escrow account management', 'cash flow forecasting', 'bank guarantee arrangements', 'financial reporting', 'funds reconciliation']","The utilities under the Power Purchase Agreement shall each deposit and maintain an amount equal to six months' capacity charges, pursuant to the Power Purchase Agreement in an escrow account with a depository satisfactory to RPCL.",P075941,10,012,"Treasury Manager Manage escrow deposits, bank guarantees and related escrow account arrangements required under the power purchase agreements. escrow account management, cash flow forecasting, bank guarantee arrangements, financial reporting, funds reconciliation"
9,inferred,Community Development Officer,Implement the Local Area Development Plan to deliver livelihood and basic service improvements to project-affected people.,"['community engagement', 'local development planning', 'livelihood restoration programs', 'stakeholder consultation', 'social safeguards implementation']",The Local Area Development Plan (LADP) will help ensure that the projectaffected people will reap tangible benefits from the RRFHP in terms of improved living standards and access to basic services.,P075941,10,013,"Community Development Officer Implement the Local Area Development Plan to deliver livelihood and basic service improvements to project-affected people. community engagement, local development planning, livelihood restoration programs, stakeholder consultation, social safeguards implementation"
1,inferred,Power systems analyst,Conduct the analytical work for a transmission interconnection between Tanzania and Zambia to support regional grid integration.,"['power system modeling', 'transmission planning studies', 'grid integration analysis', 'data analysis and interpretation', 'stakeholder coordination']","NELSAP is conducting the necessary analytical work for a transmission interconnection between Tanzania and Zambia, to connect the Eastern Africa Power Pool to the Southern Africa Power Pool.",P075941,11,014,"Power systems analyst Conduct the analytical work for a transmission interconnection between Tanzania and Zambia to support regional grid integration. power system modeling, transmission planning studies, grid integration analysis, data analysis and interpretation, stakeholder coordination"
2,inferred,Transmission line engineer,Design and develop interconnecting high-voltage transmission links required to realize regional power trade.,"['high-voltage transmission design', 'route survey and siting', 'electrical power engineering', 'construction supervision', 'environmental compliance']","The establishment of power development options also included the development of a regional transmission network, since for realization of the trade opportunities, interconnecting transmission links will be required.",P075941,11,015,"Transmission line engineer Design and develop interconnecting high-voltage transmission links required to realize regional power trade. high-voltage transmission design, route survey and siting, electrical power engineering, construction supervision, environmental compliance"
3,inferred,Hydropower project developer,"Develop hydropower resource potential in the Nile Equatorial Lakes region, including project identification and development activities.","['feasibility assessment', 'resource and hydrology assessment', 'project financing structuring', 'environmental and social appraisal', 'stakeholder engagement']",The countries in the NEL Region also will need to develop hydropower resource potential.,P075941,11,016,"Hydropower project developer Develop hydropower resource potential in the Nile Equatorial Lakes region, including project identification and development activities. feasibility assessment, resource and hydrology assessment, project financing structuring, environmental and social appraisal, stakeholder engagement"
4,inferred,Hydropower engineer,Provide technical design and development support for the Rusumo Falls hydropower dam as a jointly developed regional investment.,"['dam design', 'hydraulic engineering', 'structural analysis', 'construction oversight', 'environmental mitigation design']",The development of the Rusumo Falls hydropower dam has been of great interest to the NBI countries because it is a flagship regional investment -the first o be jointly developed by the direct beneficiary countries but with the support of the other riparian countries in the Nile Basin.,P075941,11,017,"Hydropower engineer Provide technical design and development support for the Rusumo Falls hydropower dam as a jointly developed regional investment. dam design, hydraulic engineering, structural analysis, construction oversight, environmental mitigation design"
1,inferred,Metering Technician,Install and replace prepayment electricity meters financed under the World Bank projects.,"['meter installation', 'electrical safety practices', 'meter testing and commissioning', 'customer metering configuration', 'site troubleshooting']","The World Bank is  financing the  acquisition and installation of 15,000 prepayment  meters  under  the  on-going Projet Multisectoriel Eau et Electricit6 Project  (PMIEE)  and another 15,000 prepayment meters  under the  Projet d'Urgence  pour  l'Assistance au  Secteur Energ6tique (PURSE) Project. All new household connections have  prepayment  meters. The credit meters  at  existing household  and  public institution are gradually being  replaced  with prepayment meters.",P075941,12,018,"Metering Technician Install and replace prepayment electricity meters financed under the World Bank projects. meter installation, electrical safety practices, meter testing and commissioning, customer metering configuration, site troubleshooting"
2,inferred,Power Systems Engineer,"Analyze and assess generation, transmission and distribution systems to identify technical and nontechnical losses and propose mitigation measures and loss-reduction targets.","['power system analysis', 'transmission and distribution engineering', 'loss diagnostics', 'data modeling and interpretation', 'technical reporting and recommendations']","EWSA has recently engaged Manitoba Hydro of Canada to (a)  analyse  and assess the  power generation, transmission and distribution systems (110kV down  to  0.4kV) all over  the country  in  view to  reduce  power losses of  the  grid, (b) identify both  technical and nontechnical losses with  a focus  on identifying the  source  of  the losses, and (c) propose immediate and long term measures for  mitigating losses and realistic loss  reduction targets over  the  period from  2012 -2017, including associated costs.",P075941,12,019,"Power Systems Engineer Analyze and assess generation, transmission and distribution systems to identify technical and nontechnical losses and propose mitigation measures and loss-reduction targets. power system analysis, transmission and distribution engineering, loss diagnostics, data modeling and interpretation, technical reporting and recommendations"
3,inferred,Procurement Officer,Manage contracting and procurement of short-term emergency thermal power supply for the utility.,"['public procurement procedures', 'contract negotiation', 'supplier assessment', 'contract management', 'energy procurement planning']","In addition, beginning  in May  2012, EWSA began contracting for  20 MW of, short-term emergency  thermal power from  Aggreko Company.",P075941,12,020,"Procurement Officer Manage contracting and procurement of short-term emergency thermal power supply for the utility. public procurement procedures, contract negotiation, supplier assessment, contract management, energy procurement planning"
4,inferred,Electrical Lineworker,Carry out new household electricity service connections under the Electricity Access Roll-out Program.,"['low-voltage network installation', 'service connection wiring', 'pole and line work', 'site safety and fall protection', 'customer site commissioning']","The numbers of new customer connections are  estimated at  around 80,000 per annum  as per the on-going Electricity Roll-out  Program (EARP)  funded by  IDA, BADEA/Saudi  Fund,  OFID, AFD and GoR.",P075941,12,021,"Electrical Lineworker Carry out new household electricity service connections under the Electricity Access Roll-out Program. low-voltage network installation, service connection wiring, pole and line work, site safety and fall protection, customer site commissioning"
1,explicit,Power Engineer,Serve as a member of the field-based implementation-support team providing technical support for the project's power aspects.,"['power systems analysis', 'electrical grid integration', 'technical oversight', 'field supervision']","The core implementation-support team will consist of a task team leader (TTL), a power engineer, an environmental safeguard specialist, a social-safeguards specialist, a procurement specialist, and a financial-management specialist.",P075941,13,022,"Power Engineer Serve as a member of the field-based implementation-support team providing technical support for the project's power aspects. power systems analysis, electrical grid integration, technical oversight, field supervision"
2,explicit,Environmental Safeguard Specialist,Provide environmental safeguard expertise as part of the implementation-support team to address critical safeguard issues.,"['environmental impact assessment', 'mitigation planning', 'environmental monitoring', 'regulatory compliance']","The core implementation-support team will consist of a task team leader (TTL), a power engineer, an environmental safeguard specialist, a social-safeguards specialist, a procurement specialist, and a financial-management specialist.",P075941,13,023,"Environmental Safeguard Specialist Provide environmental safeguard expertise as part of the implementation-support team to address critical safeguard issues. environmental impact assessment, mitigation planning, environmental monitoring, regulatory compliance"
3,explicit,Social Safeguards Specialist,Provide social safeguard expertise as part of the implementation-support team to manage resettlement and social impacts.,"['resettlement planning', 'stakeholder engagement', 'social impact assessment', 'grievance mechanisms']","The core implementation-support team will consist of a task team leader (TTL), a power engineer, an environmental safeguard specialist, a social-safeguards specialist, a procurement specialist, and a financial-management specialist.",P075941,13,024,"Social Safeguards Specialist Provide social safeguard expertise as part of the implementation-support team to manage resettlement and social impacts. resettlement planning, stakeholder engagement, social impact assessment, grievance mechanisms"
4,explicit,Procurement Specialist,Monitor and support procurement activities as a member of the implementation-support team.,"['public procurement rules', 'bid evaluation', 'contract management', 'procurement monitoring']","The core implementation-support team will consist of a task team leader (TTL), a power engineer, an environmental safeguard specialist, a social-safeguards specialist, a procurement specialist, and a financial-management specialist.",P075941,13,025,"Procurement Specialist Monitor and support procurement activities as a member of the implementation-support team. public procurement rules, bid evaluation, contract management, procurement monitoring"
5,explicit,Financial Management Specialist,Provide financial management support as part of the implementation-support team.,"['project financial reporting', 'budget monitoring', 'funds management', 'financial controls']","The core implementation-support team will consist of a task team leader (TTL), a power engineer, an environmental safeguard specialist, a social-safeguards specialist, a procurement specialist, and a financial-management specialist.",P075941,13,026,"Financial Management Specialist Provide financial management support as part of the implementation-support team. project financial reporting, budget monitoring, funds management, financial controls"
6,explicit,Institutional Specialist,Support the core team with institutional expertise in the electricity sector.,"['institutional analysis', 'energy sector knowledge', 'policy advisory', 'stakeholder coordination']","This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&amp;E) specialist.",P075941,13,027,"Institutional Specialist Support the core team with institutional expertise in the electricity sector. institutional analysis, energy sector knowledge, policy advisory, stakeholder coordination"
7,explicit,Electromechanical Engineer,Provide electromechanical technical support to the implementation-support team.,"['electromechanical systems', 'equipment commissioning', 'technical inspection', 'maintenance planning']","This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&amp;E) specialist.",P075941,13,028,"Electromechanical Engineer Provide electromechanical technical support to the implementation-support team. electromechanical systems, equipment commissioning, technical inspection, maintenance planning"
8,explicit,Civil Engineer,Provide civil engineering support to the implementation-support team for project construction and related works.,"['civil engineering design', 'site supervision', 'construction oversight', 'geotechnical assessment']","This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&amp;E) specialist.",P075941,13,029,"Civil Engineer Provide civil engineering support to the implementation-support team for project construction and related works. civil engineering design, site supervision, construction oversight, geotechnical assessment"
9,explicit,Resettlement Specialist,Support implementation of resettlement activities and the Resettlement Action Plan as part of the support team.,"['resettlement implementation', 'land acquisition procedures', 'livelihood restoration', 'community consultation']","This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&amp;E) specialist.",P075941,13,030,"Resettlement Specialist Support implementation of resettlement activities and the Resettlement Action Plan as part of the support team. resettlement implementation, land acquisition procedures, livelihood restoration, community consultation"
10,explicit,Hydropower Specialist,Provide hydropower technical support to the implementation-support team.,"['hydropower engineering', 'hydrological analysis', 'plant design review', 'operation planning']","This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&amp;E) specialist.",P075941,13,031,"Hydropower Specialist Provide hydropower technical support to the implementation-support team. hydropower engineering, hydrological analysis, plant design review, operation planning"
11,explicit,Legal Advisor,Provide legal advice and support to the implementation-support team.,"['contract law', 'project legal advisory', 'regulatory review', 'drafting agreements']","This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&amp;E) specialist.",P075941,13,032,"Legal Advisor Provide legal advice and support to the implementation-support team. contract law, project legal advisory, regulatory review, drafting agreements"
12,explicit,Water Resources Specialist,Provide water resources expertise to the support team for project water management issues.,"['hydrology analysis', 'water resource management', 'flow modeling', 'environmental water assessment']","This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&amp;E) specialist.",P075941,13,033,"Water Resources Specialist Provide water resources expertise to the support team for project water management issues. hydrology analysis, water resource management, flow modeling, environmental water assessment"
13,explicit,Communications Specialist,Support communications and stakeholder consultation activities as part of the implementation-support team.,"['stakeholder communication', 'public consultation', 'media engagement', 'information dissemination']","This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&amp;E) specialist.",P075941,13,034,"Communications Specialist Support communications and stakeholder consultation activities as part of the implementation-support team. stakeholder communication, public consultation, media engagement, information dissemination"
14,explicit,Monitoring and Evaluation Specialist,Provide monitoring and evaluation support as part of the implementation-support team to review project progress and safeguards implementation.,"['monitoring and evaluation', 'indicator tracking', 'data analysis', 'reporting and evaluation']","This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&amp;E) specialist.",P075941,13,035,"Monitoring and Evaluation Specialist Provide monitoring and evaluation support as part of the implementation-support team to review project progress and safeguards implementation. monitoring and evaluation, indicator tracking, data analysis, reporting and evaluation"
1,inferred,Communications Officer,Provide information to the public in accessible formats and maintain dialogue with stakeholders as part of the project's stakeholder dialogue and communications strategy.,"['public messaging', 'stakeholder engagement', 'media relations', 'information materials production', 'local language communication']","The stakeholder dialogue will focus on the role of the RRFHP in the promotion of the Africa Region's abundant, clean energy in support of economic development and poverty reduction. The strategy will provide information to the public in a format and language that can easily be understood and maintain a dialogue with stakeholders.",P075941,14,036,"Communications Officer Provide information to the public in accessible formats and maintain dialogue with stakeholders as part of the project's stakeholder dialogue and communications strategy. public messaging, stakeholder engagement, media relations, information materials production, local language communication"
2,inferred,Knowledge Management Specialist,Develop and manage a knowledge-management component to document best practices and share them with stakeholders involved in similar ventures.,"['documenting best practices', 'knowledge sharing', 'stakeholder capacity building', 'report writing', 'information dissemination']",The strategy will also include a knowledge-management component to document best practices and share them with stakeholders involved in similar ventures.,P075941,14,037,"Knowledge Management Specialist Develop and manage a knowledge-management component to document best practices and share them with stakeholders involved in similar ventures. documenting best practices, knowledge sharing, stakeholder capacity building, report writing, information dissemination"
3,inferred,Web Content Manager,Post all public project documents online on a dedicated project website and create hyperlinks to donor partner websites.,"['website content management', 'online document publishing', 'hyperlink management', 'web accessibility', 'content localization']","The RRFHP will adhere to the Bank's Access to Information Policy, and all public documents involving the project, including environmental and social impact reports, will be posted online on a dedicated website -www.worldbank.org/Rusomo. Hyperlinks to websites of all donor partners supporting RRFHP will be created.",P075941,14,038,"Web Content Manager Post all public project documents online on a dedicated project website and create hyperlinks to donor partner websites. website content management, online document publishing, hyperlink management, web accessibility, content localization"
4,inferred,Monitoring and Evaluation Specialist,Design and implement continuous feedback capture during project implementation and coordinate harnessing the capacity of civil society in monitoring activities.,"['data collection and analysis', 'feedback mechanism design', 'community monitoring coordination', 'evaluation reporting', 'indicator development']","Therefore the Project's communications strategy emphasizes the continuous capturing of feedback during project implementation, harnessing the capacity of civil society in monitoring activities.",P075941,14,039,"Monitoring and Evaluation Specialist Design and implement continuous feedback capture during project implementation and coordinate harnessing the capacity of civil society in monitoring activities. data collection and analysis, feedback mechanism design, community monitoring coordination, evaluation reporting, indicator development"
5,inferred,Community Liaison Officer,Conduct communications and consultations with affected communities to enhance public understanding of the project's strategic importance and to manage stakeholder issues.,"['community consultations', 'stakeholder engagement', 'grievance handling', 'social mobilization', 'local stakeholder mapping']","The Project's comprehensive program of communications and consultations will enhance public understanding of the Project's strategic importance to achieving national development objectives in the beneficiary countries of Burundi, Rwanda and Tanzania.",P075941,14,040,"Community Liaison Officer Conduct communications and consultations with affected communities to enhance public understanding of the project's strategic importance and to manage stakeholder issues. community consultations, stakeholder engagement, grievance handling, social mobilization, local stakeholder mapping"
1,inferred,Construction Worker,Provide labor and execute works during the construction phase of the project.,"['construction site safety', 'heavy equipment operation', 'earthworks and concrete works', 'reading engineering drawings', 'work at heights safety']",The project will directly benefit the population in the project area by providing employment opportunities both during the construction phase and during plant operations over the long term.,P075941,1,041,"Construction Worker Provide labor and execute works during the construction phase of the project. construction site safety, heavy equipment operation, earthworks and concrete works, reading engineering drawings, work at heights safety"
2,inferred,Plant Operator,Operate and manage plant equipment during long-term plant operations.,"['hydroelectric equipment operation', 'routine maintenance procedures', 'monitoring and control systems operation', 'safety and emergency response', 'operational record keeping']",The project will directly benefit the population in the project area by providing employment opportunities both during the construction phase and during plant operations over the long term.,P075941,1,042,"Plant Operator Operate and manage plant equipment during long-term plant operations. hydroelectric equipment operation, routine maintenance procedures, monitoring and control systems operation, safety and emergency response, operational record keeping"
3,inferred,Community Liaison Officer,Plan and conduct extensive public consultations as part of the assessment and engagement with affected communities.,"['stakeholder engagement', 'public consultation facilitation', 'grievance redress management', 'community outreach and mobilization', 'reporting and documentation']",The project includes extensive public consultations as an integral part of the assessment.,P075941,1,043,"Community Liaison Officer Plan and conduct extensive public consultations as part of the assessment and engagement with affected communities. stakeholder engagement, public consultation facilitation, grievance redress management, community outreach and mobilization, reporting and documentation"
4,inferred,Transmission Line Engineer,"Design, supervise and manage the construction of transmission lines across beneficiary countries.","['overhead line design', 'structural analysis', 'site supervision', 'health and safety compliance', 'construction project management']","(c) The construction of transmission lines in the beneficiary countries as follows: 161 km in Burundi, 119 km in Rwanda and 98.20 km in Tanzania.",P075941,1,044,"Transmission Line Engineer Design, supervise and manage the construction of transmission lines across beneficiary countries. overhead line design, structural analysis, site supervision, health and safety compliance, construction project management"
1,explicit,Project Manager,Support set-up operations of the Rusumo Power Company Limited and the Rusumo Project Implementation Unit by providing project management staff.,"['project planning and scheduling', 'contract supervision', 'stakeholder coordination', 'reporting and monitoring']","This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited  (RPCL) and NELSAP Rusumo Project Implementation  Unit (RPIU)  including a  project manager, senior  engineers  (civil, electrical and mechanical), a  quantity surveyor, a  safeguards  team, a procurement specialist, a  financial management  specialist, accounts and  logistics assistant, a communications  specialist and other  technical staff.",P075941,2,045,"Project Manager Support set-up operations of the Rusumo Power Company Limited and the Rusumo Project Implementation Unit by providing project management staff. project planning and scheduling, contract supervision, stakeholder coordination, reporting and monitoring"
2,explicit,Civil Engineer,"Provide senior civil engineering expertise for design, construction and supervision of the power plant complex and associated civil works.","['structural design and analysis', 'site supervision', 'earthworks and concrete technology', 'construction quality control']","This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited  (RPCL) and NELSAP Rusumo Project Implementation  Unit (RPIU)  including a  project manager, senior  engineers  (civil, electrical and mechanical), a  quantity surveyor, a  safeguards  team, a procurement specialist, a  financial management  specialist, accounts and  logistics assistant, a communications  specialist and other  technical staff.",P075941,2,046,"Civil Engineer Provide senior civil engineering expertise for design, construction and supervision of the power plant complex and associated civil works. structural design and analysis, site supervision, earthworks and concrete technology, construction quality control"
3,explicit,Electrical Engineer,"Provide senior electrical engineering expertise for mechanical and electrical works, substations and power complex control systems.","['power systems design', 'substation and protection design', 'control systems integration', 'commissioning support']","This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited  (RPCL) and NELSAP Rusumo Project Implementation  Unit (RPIU)  including a  project manager, senior  engineers  (civil, electrical and mechanical), a  quantity surveyor, a  safeguards  team, a procurement specialist, a  financial management  specialist, accounts and  logistics assistant, a communications  specialist and other  technical staff.",P075941,2,047,"Electrical Engineer Provide senior electrical engineering expertise for mechanical and electrical works, substations and power complex control systems. power systems design, substation and protection design, control systems integration, commissioning support"
4,explicit,Mechanical Engineer,"Provide senior mechanical engineering oversight for hydromechanical equipment, turbine-generator sets and auxiliaries.","['rotating equipment installation', 'hydromechanical systems', 'mechanical testing and commissioning', 'maintenance planning']","This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited  (RPCL) and NELSAP Rusumo Project Implementation  Unit (RPIU)  including a  project manager, senior  engineers  (civil, electrical and mechanical), a  quantity surveyor, a  safeguards  team, a procurement specialist, a  financial management  specialist, accounts and  logistics assistant, a communications  specialist and other  technical staff.",P075941,2,048,"Mechanical Engineer Provide senior mechanical engineering oversight for hydromechanical equipment, turbine-generator sets and auxiliaries. rotating equipment installation, hydromechanical systems, mechanical testing and commissioning, maintenance planning"
5,explicit,Quantity Surveyor,"Provide cost estimation, measurement and contract cost control for the power plant complex civil and related works.","['bill of quantities preparation', 'cost estimation', 'contract measurement', 'cost control and reporting']","This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited  (RPCL) and NELSAP Rusumo Project Implementation  Unit (RPIU)  including a  project manager, senior  engineers  (civil, electrical and mechanical), a  quantity surveyor, a  safeguards  team, a procurement specialist, a  financial management  specialist, accounts and  logistics assistant, a communications  specialist and other  technical staff.",P075941,2,049,"Quantity Surveyor Provide cost estimation, measurement and contract cost control for the power plant complex civil and related works. bill of quantities preparation, cost estimation, contract measurement, cost control and reporting"
6,explicit,Procurement Specialist,"Support procurement processes, contractor selection and procurement administration for project works and goods.","['public procurement procedures', 'bid evaluation', 'contract administration', 'procurement planning']","This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited  (RPCL) and NELSAP Rusumo Project Implementation  Unit (RPIU)  including a  project manager, senior  engineers  (civil, electrical and mechanical), a  quantity surveyor, a  safeguards  team, a procurement specialist, a  financial management  specialist, accounts and  logistics assistant, a communications  specialist and other  technical staff.",P075941,2,050,"Procurement Specialist Support procurement processes, contractor selection and procurement administration for project works and goods. public procurement procedures, bid evaluation, contract administration, procurement planning"
7,explicit,Financial Management Specialist,"Provide financial management oversight including budgeting, financial reporting and coordination of audits during project setup and implementation.","['budget preparation', 'financial reporting', 'fund disbursement control', 'audit coordination']","This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited  (RPCL) and NELSAP Rusumo Project Implementation  Unit (RPIU)  including a  project manager, senior  engineers  (civil, electrical and mechanical), a  quantity surveyor, a  safeguards  team, a procurement specialist, a  financial management  specialist, accounts and  logistics assistant, a communications  specialist and other  technical staff.",P075941,2,051,"Financial Management Specialist Provide financial management oversight including budgeting, financial reporting and coordination of audits during project setup and implementation. budget preparation, financial reporting, fund disbursement control, audit coordination"
